cod_ibge,ente,populacao,score,classificacao,anos_entregues,eorcam_raw,lliq_raw,rrestos_nproc_pct,n_anos_cronicos,qsiconfi,ccauc,autonomia_media,eorcam_norm,lliq_norm,rproc_norm,autonomia_norm,contrib_eorcam,contrib_lliq,contrib_qsiconfi,contrib_ccauc,contrib_autonomia,contrib_rproc,pen_lliq_parcial,pen_situacional,score_base,score_bruto,dias_atraso,decay_fator,dado_suspeito,dado_suspeito_lliq,dado_defasado,lliq_parcial,autonomia_critica,n_licitacoes,valor_homologado_total,n_dispensa,valor_hom_dispensa,ano_ultima_licitacao,pct_dispensa,alerta_dispensa
2502151,Boa Vista,6592,86.3,🟢 Risco Baixo,6,103.392,0.885249,0.74,0,1.0,1.0,0.0351931442231555,1.0,1.0,1.0,0.6345,15.0,35.0,15.0,0.0,6.345,15.0,0.0,0.0,86.345,86.345,53.0,1.0,False,False,False,False,True,57.0,10123540.4,0.0,0.0,2026.0,0.0,False
2516706,Teixeira,15129,86.0,🟢 Risco Baixo,6,100.753,0.179791,0.0,0,1.0,0.0,0.0304872290637036,1.0,0.7277,1.0,0.556,15.0,25.4695,15.0,10.0,5.56,15.0,0.0,0.0,86.0295,86.0295,53.0,1.0,False,False,False,False,True,217.0,36530957.47,120.0,887342.66,2026.0,0.0243,False
2502706,Borborema,4185,85.9,🟢 Risco Baixo,6,106.8195,0.242791,0.0,0,1.0,0.0,0.0202236346801157,0.9393,0.8285,1.0,0.284,14.0895,28.9975,15.0,10.0,2.84,15.0,0.0,0.0,85.92699999999999,85.92699999999999,53.0,1.0,False,False,False,False,True,,,,,,,
2509396,Maturéia,6717,85.5,🟢 Risco Baixo,6,95.842,0.185105,0.01,0,1.0,0.0,0.0287065194302653,1.0,0.7362,1.0,0.478,15.0,25.767,15.0,10.0,4.78,15.0,0.0,0.0,85.547,85.547,53.0,1.0,False,False,False,False,True,79.0,2162598.75,27.0,283070.21,2026.0,0.1309,False
2507309,Jacaraú,14969,84.9,🟢 Risco Baixo,6,93.5695,0.223849,0.54,1,1.0,0.0,0.0311749058571572,1.0,0.7982,0.75,0.5692,15.0,27.937,15.0,10.0,5.692,11.25,0.0,0.0,84.87899999999999,84.87899999999999,53.0,1.0,False,False,False,False,True,55.0,355960.0,4.0,355960.0,2026.0,1.0,True
2504033,Capim,7446,84.7,🟢 Risco Baixo,6,94.0435,0.278431,0.01,1,1.0,0.05,0.0210021983817298,1.0,0.8855,0.75,0.2999,15.0,30.9925,15.0,9.5,2.999,11.25,0.0,0.0,84.7415,84.7415,53.0,1.0,False,False,False,False,True,31.0,11798609.59,0.0,0.0,2026.0,0.0,False
2507002,Itaporanga,24766,84.6,🟢 Risco Baixo,6,102.191,0.105927,-0.0,0,1.0,0.0,0.047846501322928,1.0,0.6095,1.0,0.8288,15.0,21.3325,15.0,10.0,8.288,15.0,0.0,0.0,84.62049999999999,84.62049999999999,53.0,1.0,False,False,False,False,True,253.0,23494060.99,152.0,1662576.4,2026.0,0.0708,False
2505204,Cuitegi,6890,83.1,🟢 Risco Baixo,6,91.318,0.493395,0.15,3,1.0,0.05,0.025720001990357,1.0,1.0,0.3,0.4055,15.0,35.0,15.0,9.5,4.055,4.5,0.0,0.0,83.055,83.055,53.0,1.0,False,False,False,False,True,11.0,1498.77,8.0,1498.77,2025.0,1.0,True
2510808,Patos,108104,82.7,🟢 Risco Baixo,6,92.191,0.192757,0.06,2,1.0,0.1,0.1134922488773959,1.0,0.7484,0.5,0.9996,15.0,26.194,15.0,9.0,9.996,7.5,0.0,0.0,82.69,82.69,53.0,1.0,False,False,False,False,False,200.0,90860201.6,51.0,1439115.67,2026.0,0.0158,False
2511301,Piancó,17088,82.5,🟢 Risco Baixo,6,96.972,0.120401,0.01,0,1.0,0.0,0.029600191717285,1.0,0.6326,1.0,0.5389,15.0,22.141,15.0,10.0,5.389,15.0,0.0,0.0,82.53,82.53,53.0,1.0,False,False,False,False,True,58.0,16201537.23,3.0,2201367.41,2026.0,0.1359,False
