cod_ibge,ente,populacao,score,classificacao,anos_entregues,eorcam_raw,lliq_raw,rrestos_nproc_pct,n_anos_cronicos,qsiconfi,ccauc,autonomia_media,eorcam_norm,lliq_norm,rproc_norm,autonomia_norm,contrib_eorcam,contrib_lliq,contrib_qsiconfi,contrib_ccauc,contrib_autonomia,contrib_rproc,pen_lliq_parcial,pen_situacional,score_base,score_bruto,dias_atraso,decay_fator,dado_suspeito,dado_suspeito_lliq,dado_defasado,lliq_parcial,autonomia_critica
2508554,Logradouro,5107,63.8,🟡 Risco Médio,6,88.4825,0.120011,0.02,1,1.0,1.0,0.0190745596053469,0.9241,0.8,0.75,0.2616,18.482,24.0,15.0,0.0,2.616,3.75,0.0,0.0,63.848,63.848,33.0,1.0,False,False,False,False,True
2516607,Tavares,14473,63.5,🟡 Risco Médio,6,89.3975,0.033697,0.03,0,1.0,1.0,0.0358179907977526,0.9699,0.5842,1.0,0.6548,19.398,17.526,15.0,0.0,6.548,5.0,0.0,0.0,63.472,63.472,33.0,1.0,False,False,False,False,True
2504009,Campina Grande,443911,63.5,🟡 Risco Médio,6,95.3005,-0.025354,0.06,0,1.0,1.0,0.1608038654498474,1.0,0.4506,1.0,1.0,20.0,13.518,15.0,0.0,10.0,5.0,0.0,0.0,63.518,63.518,33.0,1.0,False,False,False,False,False
2507101,Itapororoca,19165,63.5,🟡 Risco Médio,6,95.427,0.05014,0.4,0,1.0,1.0,0.0263405423717306,1.0,0.6253,1.0,0.4755,20.0,18.759,15.0,0.0,4.755,5.0,0.0,0.0,63.514,63.514,33.0,1.0,False,False,False,False,True
2512606,Quixaba,1803,63.4,🟡 Risco Médio,6,98.1595,0.06896,0.05,0,1.0,1.0,0.0221224592338916,1.0,0.6724,1.0,0.3236,20.0,20.172,15.0,0.0,3.236,5.0,0.0,0.0,63.407999999999994,63.407999999999994,33.0,1.0,False,False,False,False,True
2500601,Alhandra,23065,63.2,🟡 Risco Médio,6,95.681,-0.007589,1.7,0,1.0,1.0,0.0520390058555192,1.0,0.4849,1.0,0.8703,20.0,14.547,15.0,0.0,8.703,5.0,0.0,0.0,63.25,63.25,33.0,1.0,False,False,False,False,True
2513000,Salgadinho,3435,63.1,🟡 Risco Médio,6,87.7185,0.063661,0.13,0,1.0,1.0,0.0322692095502118,0.8859,0.6592,1.0,0.5654,17.718,19.776,15.0,0.0,5.654,5.0,0.0,0.0,63.147999999999996,63.147999999999996,33.0,1.0,False,False,False,False,True
2515807,Serra Redonda,6975,63.1,🟡 Risco Médio,6,107.3405,0.087642,1.03,0,1.0,1.0,0.0212891799273555,0.922,0.7191,1.0,0.3059,18.44,21.573,15.0,0.0,3.059,5.0,0.0,0.0,63.072,63.072,33.0,1.0,False,False,False,False,True
2506251,Gado Bravo,8398,63.1,🟡 Risco Médio,6,105.2685,0.069064,0.02,0,1.0,1.0,0.0214723587173511,0.991,0.6727,1.0,0.3097,19.82,20.181,15.0,0.0,3.097,5.0,0.0,0.0,63.098000000000006,63.098000000000006,33.0,1.0,False,False,False,False,True
2512002,Pocinhos,18038,62.9,🟡 Risco Médio,6,137.049,0.136335,0.31,0,1.0,1.0,0.0432887013545095,0.5,0.8408,1.0,0.7724,10.0,25.224,15.0,0.0,7.724,5.0,0.0,0.0,62.94800000000001,62.94800000000001,33.0,1.0,False,False,False,False,True
